Genes,Ralstonia phage Rs551,Ralstonia phage RSM3,Unclassified B,Ralstonia phage RSS1,Ralstonia phage RSS30,Ralstonia phage RSS-TH1,Ralstonia phage PE226,Ralstonia phage phiRSA1,Ralstonia phage RsoM1USA,Ralstonia phage RSY1,Unclassified D,Ralstonia phage RS138,Unclassified G,Ralstonia phage Dina,Unclassified C,Unclassified H,Unclassified A,Unclassified F,Unclassified I,Unclassified J
RipAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.5,0,0,0.5,0
RipF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.5,0,0,0,0
RipH3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
RipP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
RipS4,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0
RipS5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912087912,0,0,0
RipTAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS_T3E_Hyp14,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0
