Isolate,Ralstonia phage Rs551,Ralstonia phage RSM3,Unclassified B,Ralstonia phage RSS1,Ralstonia phage RSS30,Ralstonia phage RSS-TH1,Ralstonia phage PE226,Ralstonia phage phiRSA1,Ralstonia phage RsoM1USA,Ralstonia phage RSY1,Unclassified D,Ralstonia phage RS138,Unclassified G,Ralstonia phage Dina,Unclassified C,Unclassified H,Unclassified A,Unclassified F,Unclassified I,Unclassified J
YO160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
YO162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YO380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
